content,sentiment
watch point . hd stace also wants see hd waiting,fun
i'm sleepy head hurts . gnite lovers ! see ya !,worry
yup.they ' stopped hawaii seasons already . talking season ? hope come back,neutral
really ? cuz kc.com said releasd 24/4 n main station not even hav,surprise
http://twitpic.com/2dmtn - saw pic reminded anna king .. cute little fella,happiness
husband thinks twittering makes creeper . whatever .,worry
lol saw going that.both last names common nothing special,fun
weekends great.if not work .,happiness
#freakyfriday slipped shower fell . lucky escape couple concussions !,sadness
"good day ! ! another lindy day today ! level , b , free tester 20:00 ( olympiou diamanti 25 , 6th floor , thessaloniki ) ! !",happiness
good morning - early ! feeling enthused design life ? thanks manics phrase,happiness
wanna swap day well boring revising looming uni exams,worry
chilling wit da bestie kendra.lmao ! ! fell da shower.gotta luv tho .. ! ! * ~ p ? ~ *,worry
bank holiday = rain . superb . great excuse not start gardening jungle back house . eating .,worry
"oh ouch dude , got drunk last night not get context . sorry dude .",worry
"crap , said ' v ' word .",neutral
aha speaking german haha maybe send stuff italian ;),fun
"back weekend getaway ! energized another week , bring ! lol",happiness
"not take long .. fragment bone not heal major bone , reabsorbed body , may need fix future",worry
hello .. aint tweetin day cuz 2 switch things 2 da new place . ( exhausted sick ),sadness
"well making beds , creating noise & cleaning cleaning day long . music & smile x",neutral
mariachi'nin yeni kampanyasi beraber gelistirdigimiz facebook uygulamasi ( shut house ) hurriyet'e haber olmus : http://tr.im/msth,worry
stress mood,worry
http://twitpic.com/6714p - well done guys ! gonna miss tweets !,sadness
"quite hard cause attempt spread , cornbread falls apart .",worry
"damn nig * , wo not get . "" not without check ! "" lmfao",neutral
got 1 school detention . 2 lunch times dont go . get 2 schools,surprise
wishing work done soon <3,relief
back spain,neutral
much details ! ( glad better ),worry
back durham greensboro cook-outs closed . hm .,worry
happy mothers day love,love
maybe,neutral
no luck goin forum .. im person earth not goin,sadness
good monday . still wet outside inside i'm sunny i'm feeling surge warmth energy . good day !,happiness
rofl u ? hahaha ! lemme tell salman munir =p =p,fun
". return joy cos i'm tired , tired inspire weary eyed see ire irony .",sadness
i'm going school.joy ! :/ 7:20 ! i've got go ! bye !,fun
lounge hours.and not productive . upps time go,boredom
way dazzle bar ! !,fun
""" stunningly beautiful "" "" new piece "" not usually go together . wish could go",sadness
