,content,sentiment
0,watch point hd stace also want see hd wait,fun
1,i be sleepy head hurt gnite lover see ya,worry
2,yupthey stop hawaii season already talk season hope come back,neutral
3,really cuz kccom say releasd 244 n main station even hav,surprise
4,saw pic remind anna king cute little fella,happiness
5,husband think twitter make creeper whatever,worry
6,lol see go thatboth last name common nothing special,fun
7,weekend greatif work,happiness
8,freakyfriday slip shower fall lucky escape couple concussion,sadness
9,good day another lindy day today level b free tester 2000 olympiou diamanti 25 6th floor thessaloniki,happiness
10,good morning early feeling enthuse design life thank manics phrase,happiness
11,wan na swap day well bore revising loom uni exam,worry
12,chill wit da bestie kendralmao fall da showergotta luv tho p,worry
13,bank holiday rain superb great excuse start garden jungle back house eating,worry
14,oh ouch dude get drunk last night get context sorry dude,worry
15,crap say v word,neutral
16,aha speak german haha maybe send stuff italian,fun
17,back weekend getaway energize another week bring lol,happiness
18,take long fragment bone heal major bone reabsorb body may need fix future,worry
19,hello be not tweetin day cuz 2 switch thing 2 da new place exhaust sick,sadness
20,well make bed create noise clean cleaning day long music smile x,neutral
21,mariachinin yeni kampanyasi beraber gelistirdigimiz facebook uygulamasi shut house hurriyete haber olmus httptrimmsth,worry
22,stress mood,worry
23,well do guy gon na miss tweet,sadness
24,quite hard cause attempt spread cornbread fall apart,worry
25,damn nig wo get without check lmfao,neutral
26,get 1 school detention 2 lunch time do not go get 2 school,surprise
27,wish work do soon 3,relief
28,back spain,neutral
29,much detail glad better,worry
30,back durham greensboro cookouts close hm,worry
31,happy mothers day love,love
32,maybe,neutral
33,luck go forum i be person earth go,sadness
34,good monday still wet outside inside i be sunny i be feeling surge warmth energy good day,happiness
35,rofl u hahaha lem tell salman munir p p,fun
36,return joy cos i be tired tired inspire weary eyed see ire irony,sadness
37,i be go schooljoy 720 i have get go bye,fun
38,lounge hoursand productive upps time go,boredom
39,way dazzle bar,fun
40,stunningly beautiful new piece usually go together wish could go,sadness
41,highness crystalmariedontluvspiteanymore,love
42,home sick,sadness
43,crazy night lose key walk home miss papis call swizzy i be sad,sadness
44,break little toe vai doctor hoje voc vai na 89fm quero v lo atrav da internet get see,neutral
45,amanda peet lot like love love classic really,love
46,dog suffer abandonment issue think i be move without,worry
47,ah i be busy sorry everyone,worry
48,night still young 3,surprise
49,do internship,worry
50,post warhammer blog anyone interested httpbitlyuwl7 m,neutral
51,cool aww,happiness
52,today last official day uni balance uni work music til october atleast,relief
53,surf twitter,neutral
54,dude check could not find anything haha capital fuck,hate
55,alone,enthusiasm
56,u may try prism httpprismmozillacom,neutral
57,hiccup,neutral
58,sometimes feel pathetic go bed early oh well totally get clam chowder tomorrow,relief
59,nvidia ionbase lenovo ideapad s12 awesome fn key left ctrl make nonstarter though,surprise
60,lol bike manly,fun
61,loan set aerobar team mate tomorrows texas cup race alkek bummed wo,love
62,damn girl i be ya get ta let know get kit together get flyer next weekend,sadness
63,3 day frisbee three night party sprain ligament ca imagine well long weekend,worry
64,wish like option like fb thing like,sadness
65,worry ava distract flight,happiness
66,i be garden make picture weed sweep weather nice see l8ter people,happiness
67,young people attract trouble make sad 3 kmv,worry
68,listen house music else get gig san francisco next friday detail wmyspacecomdjspy,happiness
69,spanish grand prix 2009 one hour,happiness
70,hey pleasant surprise,worry
71,pack leave inlaw house head home sweet home nice weekend back work hour,worry
72,disappointed learn newark oh cancel july 4 firework due economy,sadness
73,want go peach also miss kittin pendulum chase status bloody beetroot fair,sadness
74,happy fridaynot happy rain,happiness
75,body ache barely movebut worth champ,worry
76,sun start go i be get cold,worry
77,ugh lose remote get ta actually move change channel wtf twat,boredom
