content,sentiment
watch point hd stace also want see hd wait,fun
i be sleepy head hurt gnite lover see ya,worry
yupthey stop hawaii season already talk season hope come back,neutral
really cuz kccom say releasd 244 n main station even hav,surprise
saw pic remind anna king cute little fella,happiness
husband think twitter make creeper whatever,worry
lol see go thatboth last name common nothing special,fun
weekend greatif work,happiness
freakyfriday slip shower fall lucky escape couple concussion,sadness
good day another lindy day today level b free tester 2000 olympiou diamanti 25 6th floor thessaloniki,happiness
good morning early feeling enthuse design life thank manics phrase,happiness
wan na swap day well bore revising loom uni exam,worry
chill wit da bestie kendralmao fall da showergotta luv tho p,worry
bank holiday rain superb great excuse start garden jungle back house eating,worry
oh ouch dude get drunk last night get context sorry dude,worry
crap say v word,neutral
aha speak german haha maybe send stuff italian,fun
back weekend getaway energize another week bring lol,happiness
take long fragment bone heal major bone reabsorb body may need fix future,worry
hello be not tweetin day cuz 2 switch thing 2 da new place exhaust sick,sadness
well make bed create noise clean cleaning day long music smile x,neutral
mariachinin yeni kampanyasi beraber gelistirdigimiz facebook uygulamasi shut house hurriyete haber olmus httptrimmsth,worry
stress mood,worry
well do guy gon na miss tweet,sadness
quite hard cause attempt spread cornbread fall apart,worry
damn nig wo get without check lmfao,neutral
get 1 school detention 2 lunch time do not go get 2 school,surprise
wish work do soon 3,relief
back spain,neutral
much detail glad better,worry
back durham greensboro cookouts close hm,worry
happy mothers day love,love
maybe,neutral
luck go forum i be person earth go,sadness
good monday still wet outside inside i be sunny i be feeling surge warmth energy good day,happiness
rofl u hahaha lem tell salman munir p p,fun
return joy cos i be tired tired inspire weary eyed see ire irony,sadness
i be go schooljoy 720 i have get go bye,fun
lounge hoursand productive upps time go,boredom
way dazzle bar,fun
stunningly beautiful new piece usually go together wish could go,sadness
highness crystalmariedontluvspiteanymore,love
home sick,sadness
crazy night lose key walk home miss papis call swizzy i be sad,sadness
break little toe vai doctor hoje voc vai na 89fm quero v lo atrav da internet get see,neutral
amanda peet lot like love love classic really,love
dog suffer abandonment issue think i be move without,worry
ah i be busy sorry everyone,worry
night still young 3,surprise
do internship,worry
post warhammer blog anyone interested httpbitlyuwl7 m,neutral
cool aww,happiness
today last official day uni balance uni work music til october atleast,relief
surf twitter,neutral
dude check could not find anything haha capital fuck,hate
alone,enthusiasm
u may try prism httpprismmozillacom,neutral
hiccup,neutral
sometimes feel pathetic go bed early oh well totally get clam chowder tomorrow,relief
nvidia ionbase lenovo ideapad s12 awesome fn key left ctrl make nonstarter though,surprise
lol bike manly,fun
loan set aerobar team mate tomorrows texas cup race alkek bummed wo,love
damn girl i be ya get ta let know get kit together get flyer next weekend,sadness
3 day frisbee three night party sprain ligament ca imagine well long weekend,worry
wish like option like fb thing like,sadness
worry ava distract flight,happiness
i be garden make picture weed sweep weather nice see l8ter people,happiness
young people attract trouble make sad 3 kmv,worry
listen house music else get gig san francisco next friday detail wmyspacecomdjspy,happiness
spanish grand prix 2009 one hour,happiness
hey pleasant surprise,worry
pack leave inlaw house head home sweet home nice weekend back work hour,worry
disappointed learn newark oh cancel july 4 firework due economy,sadness
want go peach also miss kittin pendulum chase status bloody beetroot fair,sadness
happy fridaynot happy rain,happiness
body ache barely movebut worth champ,worry
sun start go i be get cold,worry
ugh lose remote get ta actually move change channel wtf twat,boredom
i be worry great job quite nice way spend day,happiness
see tweet couple week ago hashtag want contribute since huge mitch fan,worry
get home dinner really really full mom say dad buy sony a200k holy,happiness
nyappy mothers day mom,worry
hiatus like really long boo,neutral
thanx,neutral
picture wo update,worry
finished bit sketch writing,neutral
hun yes yes,neutral
drinking cup ice chocolate,neutral
someone hate,hate
look miss couple hour i be sorry ill let know next time,worry
visit grandparent manhattan dropping sister week wish excuse tired today,fun
help computer virus place etsy shop vacation mode sort know,worry
study bullshit econ test,anger
get new double yellow volkswagen beetle happy star wars day,fun
liesgirlstell guy call phone see number real ohh phone working try tomorrow,worry
always want perfect hard cause even know impossible,hate
ds version suck,sadness
lovely profile website neat love gary ticker,love
3 hrs go pa ako,sadness
go funeral today friend classmate die car wreck last friday,sadness
soo happy today go home bit suck meet everyone aceness extreme lol cheesy p,love
ok point take ill tell team stop cynical championing standard activex far better anyway,sadness
happy imma get see lovely lady,happiness
true,neutral
see amazing hel big,sadness
dbag stole bike,neutral
thank greet,surprise
gha work hopefully traffic clear time get,worry
make cuppa coffe,empty
hope pic share hope monday rough today,enthusiasm
ooh nice well guess nice moment windy rainy like rain,worry
work logo photoshop work hehe try lah,worry
haha good bet,happiness
bif love buliding,love
get pay nowhere near much thought would,sadness
work bank holiday mind good fun,worry
cat die kidney failure math test day need get well,sadness
wish outside that s thing that s gon na kill work day everyday summer,sadness
izzy sorry hear disaster,sadness
yeah that s everything become difficult generalisation break easy problem,worry
hey bow yu comin baxx 2 thaa 614 miss yu hun 614 day,worry
miss answer i be nth time make sad whenever i be time always,sadness
back kill stupid softball,sadness
person stand world full spineless cunt make sad,sadness
ask everyone please join pray mom get home er go see heart doctor,worry
hello lovely follower love peace house lolz need weather,love
work fine,surprise
need remember datum customer enter previous page use back button many,neutral
wassup u morning,neutral
sun change default icon what be plan,love
workie dad aw suck work saturday morning i be study exam,sadness
oh boo see bar well miss ill make pt stop,sadness
what s matter,empty
happy come say hi twas nice meet indeed thank much come talk,happiness
never answer wath say,hate
clock possibly last time northview middle school,neutral
