content,sentiment
head strand goodnight,neutral
halfwelshdragon cake sure look good take one ok ummm good tks,happiness
envy love good club ever,love
enjoy sunshine park friend pale shirtless footballer not attractive afraid,love
lil kim download omq think like sonqq noww lol,worry
today line work os bluetooth app brief stint uniservity get time cs4 tutorial busy bank holiday,neutral
eminems new song beautiful amazing listen magic right httpwww myspace com steve005,surprise
get back embassy miss one paper go monday good luck,happiness
go forgo pub night wife tonight tough week us neither really plus neighbor die,fun
run white yellow oil paint may add utrecht run list,worry
laydown28 man not know month actually almost cry speakin back sad,worry
fyi put makeup flourescent fail oh face peely must look hideous also lipstick,worry
suzanella miss mine not fun,sadness
letter2twilight lmao not fake paris anymore look bio way not log onto forum,worry
make wonderful breakfast get ready workout,love
tifftiffmarie think much,worry
really need sort bird table feeder robin blue tit bully,hate
donttreeriddle oh no melted ice cream not want,sadness
also fix itune blip tv change url since part rss feed,neutral
leave piece wrecker hmm,happiness
mckmama incredibly sweet good hubby,love
play bubblewrap iphone still beat work,fun
get nervous tic motion head leave think tonight,worry
mood listen reg stuff sir tell u use huge fan mine seem forget song,sadness
depressing day today pack leave ridiculously early tomoro,worry
tomorrow valerias lunch go get hair arrave late get cousin babtizm whatever spell,happiness
appleinvestor know need new iphone stat drop mine cement 2 week ago couple row pixel go,neutral
kirsten613 oh wish would get sign something send let call meet something,worry
riskybizness23 sooo u gon cheat tell everybody twitter not know trust anymore j k,worry
inflight1 get bored routine lol,happiness
gertbeef nice musli bar,love
sarah6800 miss already sad face texte seriously go make cry,sadness
listen music friend,neutral
justwatche premier jon kate plus 8 andi not pull together not imagine alone 2 let alone 8,surprise
look like another night office lol,sadness
tired work 5 pm fb,worry
way nottingham icof tonight no gig umtil download fail,neutral
aanddfilms omg rate 10 star,surprise
tweetie enter registration detail every time update,hate
sargeabernathy purrrr ooooh,worry
pourpresheep lol thank babe,happiness
sb 239k flop q 9 4 player check turn 9 check call 200 bet river brick check call trip 9 k kick show a9,worry
wait damonandrew uchenna3 electrik red richgirl sucker later,worry
bank holiday rain superb great excuse not start garden jungle back house eat,worry
rawritsria get text one michigan empty not know state street yet,worry
joyofzen haha actually clean good actual work,fun
think wow survive freshman year mission accomplish sophomore year,relief
rezadubsteppa yeah man since hear spittin,neutral
thriftymamab lack go hunt lol refresh memory one clue 2,fun
not drink cheap wine,neutral
mcraddictal okay,neutral
drive summahkayy,surprise
pe nunub pathetic mom good friend hell know talk mom bout everything everythinggg,neutral
eww town fair tire smell horrible make sick,neutral
perfect day throw back head kiss good bye love cheerful httpblip fm5jckp,happiness
brookenichole miss earre lol let know close,worry
jjanebb follow like hear interesting story,neutral
no point bein no one else,worry
stonebrewingco um favorite beer must torture not make,happiness
try find pic twitter ihave big not upload shall remain faceless lol,sadness
chill home,relief
meghannian hug okay make sure,neutral
petewentz jealous want octo drive,sadness
wish good night everybody,happiness
limeice happy help,happiness
last time pankraz get name,neutral
drink cordial yes bore,sadness
love pink not care today shall not tweet hardcore work jamie nice day everyoneeeee xxxxxxloser,worry
sad daylaker please make happy w,worry
happy moms day not buy present mom yet get,worry
asynja mmm btw talk go 2 95,neutral
make mommy mother day present love,love
nothinbutsin sorry hear,sadness
katekisss meebo com free thing not effect comp use,neutral
love get gift mail wonderful friend back home miss myrtle beach much little homesick today,love
xcunhax yea awwww sweet u r good kid,surprise
man thing would chng vegas british boy wayyyy hot,happiness
tonight hilariouss loveeee everyone theree,love
twitter not work mob,neutral
2 coin people,neutral
woah awesome show glad back hotel though nightie night happy mother day mommys,happiness
friendofanimals shoe circa brand name,neutral
random article generator wikipedia lead httpbit ly emtcw remember play never get past 1st level,worry
ideasculture w00 red wine,neutral
mnoxon fan find,fun
marycateomalley like simpson like ask like breathe,happiness
early morning rb httpblip fm5jimj,neutral
ashleeadam not know say except hug,sadness
also realize digital voice recorder not usb port think pick wrong model,worry
jassily michael bay sigh sorry love not know feel way xd,love
know wrong maybe not fuckin thing like,hate
xdmexicanxd no sir not amazed wake morning,surprise
brittanyhauff jz local movie title virgin 2 p actually feel not good tired n dizzy,worry
harrisonjsmith nee get ticket though idk go happen,surprise
lose follower something say swear not freeballe ugg last time mention thing,worry
kellie major problem okay alex kellie hahahahahahahaa face,fun
andavane httpbit ly13f5m0 not alone disbelief quite happy evolution beat alternative posit,neutral
gremlin asleep particularly challenge bedtime think safe 4 go bed crazy sat night,worry
sadly brother tell no skatepark live bummer,surprise
bhuto give way kunal khemu etc starrer turn high probability shit rather niche,sadness
lislbr brother share microbe,worry
boring day today break not go see friend band tonight maybe q tomorrow though,sadness
happy mother dat,love
bored fix internet dad bore death,boredom
saromadian srry not go paintballe tonight no good movie,neutral
katevoegele wish not go 19 venue vancouver,worry
nodgesoft pfft cydia apps ftw code phone make reload springboard,neutral
toplessrobot not even old doll new one look like sailor moon,love
11 40 not wanna wake shoo roommate shoo,happiness
souljaboytellem gimme wanna try soulja boy tell em live live httpustre am2uhs,fun
mcrsavedmilife,neutral
oh man sick night feel awful,worry
kellz95 make cupcake say not kelli bad sister,sadness
mom happy present yayy,love
another friday night nothing boyfriend work 1,sadness
gah headache hell remind lovely wife go often,worry
angrya ps love new profile pic,love
tgrburningbrite addict colourlover time sink,love
last night 12 bottle wine house 2 cocktail come home sober still go sick,sadness
not sleep ughh n registration tomorrow 11 suxs shoot star,worry
davjr love mooorrreeee,love
kiidcam89 not make manager switch schedule close,neutral
nmcdee haha cudnt get ticket dublin soo upset,worry
mmazur hahaha actually think popular,surprise
dog officially depressed brother dog go not want go outside play half heartedly,worry
emo moment say good bye good friend ever meet sure,sadness
lala little girl love new song hippieho ii12ve answer u love freaky twitt guy,happiness
vickycornell happy mothers day vicky mother read,love
trader joes sushi fail,empty
athoob lens 70 mm could not,worry
seoulbeat romance zero funny,sadness
come back nice bike ride family refresh thank shower,love
belly speak need food,neutral
tsarnick year,neutral
link per daughter us mobile reuters com mobile anyarticle p rdturl httpwww reuters com article bigmoney idus1284981420090508,neutral
go cry go bad history test really hate history,sadness
midnight ice cream weather damn bored,empty
chocolate milk subway mmm,enthusiasm
go run circle also ab zum spooohort,neutral
ishakey yea wassup,neutral
sarahie ok drs today get essay x x,hate
want candy,enthusiasm
fetjuel musashis great rep go kitaro,neutral
cup tea,relief
love movie grease not believe jeff conaway guy play kenickie sad see celebrity rehab,sadness
try get work not happy work situation,worry
get approximately 3 hour sleep last night love life,love
not happy,worry
pull interesting meeting urgent support request,surprise
notetoshell yes,neutral
well good job two cousin graduate good luck life never wear pajama pant school,happiness
ncaa baseball road 2 omaha south carolina hit 3run homerun dagger 2 heart mason 1 south carolina 3,neutral
loveprimadonna lucky live vegas never rain,worry
write tape 48hoursnz,neutral
mundah really glad able watch game,happiness
bighit15 one therefore absolute original see hang artist good soul,neutral
sing xbox lip drunk beer weekend rock far,fun
sobk13 yes seem way page not find,neutral
please please please please let match cancel today please,worry
gutte handbag want sell,surprise
almost first day spa miss place head fort collin close casa de kent,happiness
noopdoggnatasha fanbase code word something special anoop personal special,neutral
aboveallfabric agree marry 7 yrs 6th move blah,neutral
itshazel wow five year congrat,happiness
drink shitload water get rid hangover train 9,hate
yelyahwilliams not include itstayloryall follow friday,neutral
ioeide hello welcome twitterverse,neutral
collect tv acquire freecycle,neutral
work not know exhaust,worry
sometimes wish man could pee stand scratch chest instead lie breast hah,neutral
mechellelewis shatter long week pity tomorrow night,worry
demios101 oh sorry hear sad,worry
lexibexi totally completely agree,relief
sun shine drive lesson,happiness
wake tooth really hurt rubber band,worry
20 john johnhaydon thedailyblonde httptinyurl com cq5nkp,empty
newyshortstack yeah go go second one aswell,neutral
userealbutter door open cup tea wait,love
davemark welcome last two year flyer fan,neutral
mattsmithson no wonder run son,neutral
perezhilton sad trauma future serial killer,worry
not put anything,neutral
ii wanna go home thee weekend ii no gas sukks,sadness
deenap aww thank,love
none think make sense sober,worry
thing look better well think may quite happy,relief
ugg unpack suck,worry
vene2ia thank good read blog post,relief
spend time explore atlas hercule crater find thing uma oph ser caput saturn w fog eyepiece home 2a,neutral
blaqberry know hope since get sesame oil love let slide finger cross,fun
tapulous uk love,sadness
yay 2 ride home 2 take tha yellow limo super gay,happiness
finally work long night hangin krispyswiggs,relief
terrencej106 aww last one roo oop,fun
meditate feel vast vast know itwhat think,happiness
want milk,sadness
enobyte drank 2003 guess not count,fun
really want see cash cash,happiness
taraw07 cuss u siad u not lol,neutral
tfeb nope one really good cuban place ask,empty
spoke club fall love tom arnold not rosie ex definitely different lucky moi,love
nickasaur hey nick youu x,relief
khanserai halo,neutral
cityofedmonton service west end yeg joke 6 pm 2 150 late not help yegtransit fail,worry
